objectid,title,file name,translated title,display_template,object_location,contributor 1 first name,creator,contributor 1 last name,contributor 1 role,contributor 1 nationality,contributor 2 first name,contributor name,contributor 2 last name,contributor 2 role,contributor 2 nationality,subject,genre,DOI,first page,last page,issue archive URL,publication,ISSN,volume,issue,special issue info,publication date,publisher,publisher location
the-visual-arts-of-aruba-and-the-netherlands-antilles-001,The Visual Arts of Aruba and the Netherlands Antilles,The_Visual_Arts_Of_Aruba.pdf,,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol1no1/pdf/The_Visual_Arts_Of_Aruba.pdf,Marianne de,Marianne de Tolentino,Tolentino,author,,,,,,,Art exhibitions;Carib Art;Carribean art;Gala di Arte,essay,https://doi.org/10.33682/c8gq-pfsv,71,75,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol1no1//,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,1,1,,2000,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
story-of-dance-and-rain-002,Story of Dance and Rain,Story_of_Dance_and_Rain.pdf,,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol1no1/pdf/Story_of_Dance_and_Rain.pdf,Louis-Philippe,Louis-Philippe Dalembert,Dalembert,author,Haiti,Anne M.,Anne M. Francois,Francois,translator,,Dance;Memory;Nightclubs;Romance,short story,https://doi.org/10.33682/8z3n-tku7,1,5,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol1no1//,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,1,1,,2000,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
notes-for-an-emancipation-poem-003,Notes for an Emancipation Poem,Notes_for_an_Emancipation_poem.pdf,,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol1no1/pdf/Notes_for_an_Emancipation_poem.pdf,Drisana Deborah,Drisana Deborah Jack,Jack,author,Saint Martin,,,,,,"Bamboulay;Carribean slave trade;Emancipation;Felix Choisy;One-Tete Lokay,Ponum;Saint Martin;Slave revolts",poem,https://doi.org/10.33682/b5uk-gm43,137,139,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol1no1//,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,1,1,,2000,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
stripper-or-whats-in-a-name-004,"Stripper, or What's In A Name",Stripper_or_Whats_In_A_Name.pdf,,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol1no1/pdf/Stripper_or_Whats_In_A_Name.pdf,Deanne,Deanne Kennedy,Kennedy,author,,,,,,,Carving;Woodworking,poem,https://doi.org/10.33682/jqx4-aqgm,44,46,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol1no1//,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,1,1,,2000,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
the-spider-speaks-005,The Spider Speaks,The_Spider_Speaks.pdf,,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol1no1/pdf/The_Spider_Speaks.pdf,Shara,Shara McCallum,McCallum,author,Jamaica,,,,,,Creativity;Poems about poetry;Poetry on writing;Spiders;Weaving,poem,https://doi.org/10.33682/dk75-bff9,25,25,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol1no1//,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,1,1,,2000,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
fillette-006,Fillette,Fillette.pdf,Little Girl,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol2no1/pdf/Fillette.pdf,Danielle Legros,Danielle Legros Georges,Georges,author,Haiti,,,,,,Childhood;Haiti;Poems,poem,https://doi.org/10.33682/4fyb-eb7d,28,28,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol2no1/,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,2,1,,2002,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
parrot-music-box-007,Parrot Music Box,Parrot_Music_Box.pdf,,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol2no1/pdf/Parrot_Music_Box.pdf,Y.C.,Y.C. Murphy,Murphy,author,,,,,,,Birds;Ornithology;Poems;Poems about birds,poem,https://doi.org/10.33682/ch4k-axqd,31,31,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol2no1/,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,2,1,,2002,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
before-electricity-008,Before Electricity,Before_Electricity.pdf,,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol2no1/pdf/Before_Electricity.pdf,Jacqueline,Jacqueline Bishop,Bishop,author,Jamaica,,,,,,Family;Oregon;Grandparents;Jamaica;Women,poem,https://doi.org/10.33682/jtjt-5336,51,51,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol2no1/,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,2,1,,2002,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
tengo-una-pena-en-el-alma-009,tengo una pena en el alma,tengo_una_pena_en_el_alma.pdf,I have sorrow in my soul,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol2no1/pdf/tengo_una_pena_en_el_alma.pdf,Janet Arelis,Janet Arelis Quezada,Quezada,author,Dominican Republic,,,,,,Poem;Poems in Spanish;Sorrow;City;Music;History;Caribbean,poem,https://doi.org/10.33682/fh7j-tjw4,93,94,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol2no1/,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,2,1,,2002,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
keeping-dreams-010,Keeping Dreams,Keeping_Dreams.pdf,,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol2no1/pdf/Keeping_Dreams.pdf,Enith,Enith Tate,Tate,author,,,,,,,Caribbean;Blackness;History;Poem;Poems about ancestry,poem,https://doi.org/10.33682/fwzg-s8b2,96,97,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol3no1/,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,2,1,,2004,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
point-samana-011,Point Samana,0301001.pdf,,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol3no1/pdf/0301001.pdf,Madison Smartt,Madison Smartt Bell,Bell,author,United States,,,,,,Haiti;Historical fiction,novel,https://doi.org/10.33682/5wh3-43nh,1,13,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol3no1/,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,3,1,,2004,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
a-carnival-incident-012,A Carnival Incident,0301014.pdf,,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol3no1/pdf/0301014.pdf,Gus,Gus Edwards,Edwards,author,,,,,,,Infidelity;Murder;Crimes of passion,short story,https://doi.org/10.33682/t7cq-0wmn,14,23,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol3no1/,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,3,1,,2004,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
mr-rhumbay-013,Mr. Rhumbay,0301024.pdf,,pdf,https://github.com/nyu-dss/calabash/blob/main/data/vol3no1/pdf/0301024.pdf,Gus,Gus Edwards,Edwards,author,,,,,,,Courage;Friendship,short story,https://doi.org/10.33682/9pmb-8g8x,24,26,https://web.archive.org/web/20230000000000*/http://www.nyu.edu/calabash/vol3no1/,Calabash: a Journal of Caribbean Arts and Letters,1531-6661,3,1,,2004,New York University Graduate Program in Spanish & Portuguese Languages & Literatures,New York
